Raw,Processed,Label
"The hotel is located in an hard to fins location in Chicago, the dining room for dinner is uncomfortably crowded, the room service is hard to reach, overall it was not a pleasant hotel stay.
",the hotel is located in an hard to fins location in chicago the dining room for dinner is uncomfortably crowded the room service is hard to reach overall it was not a pleasant hotel stay,0
"When you stay at a hotel like The James, just from their price point, you expect a certain level of quality. If I pay well over 500 dollars for a room, I do not think it unreasonable to expect not only a quality room, but also a certain level of standard of service. Perhaps this hotel should rename itself The Lebron James, because it has about as much class as he does, and is about twice as pretentious. A handful of baby powder thrown into my face would have been a refreshing break from the level of service I received at The Lebron James. My night of hell began with the clerk, bellboy, or whatever he was, at the front desk, who faked what I assume was intended to be a British accent, but ended up as an unholy melding of Australian and New Englander. A British accent does not make you fancy, or skilled. Once I made my way past Mr. Belvedere and to my room, I was disappointed, not only by its size, which was unusually small, but also a faint scent of cigarettes. Not a strong one, but I could definitely smell smoke. Not acceptable. Then, while I was sleeping, a deep throbbing sound began to emanate from the walls. It sounded technical, mechanical, like an air conditiner malfunctioning. Despite many reassurances from the front desk, the throbbing continued on throughout the night. I demanded the man at the front desk come up and rectify the situation immediately, but from what I could tell, he never came.
",when you stay at a hotel like the james just from their price point you expect a certain level of quality if i pay well over  dollars for a room i do not think it unreasonable to expect not only a quality room but also a certain level of standard of service perhaps this hotel should rename itself the lebron james because it has about as much class as he does and is about twice as pretentious a handful of baby powder thrown into my face would have been a refreshing break from the level of service i received at the lebron james my night of hell began with the clerk bellboy or whatever he was at the front desk who faked what i assume was intended to be a british accent but ended up as an unholy melding of australian and new englander a british accent does not make you fancy or skilled once i made my way past mr belvedere and to my room i was disappointed not only by its size which was unusually small but also a faint scent of cigarettes not a strong one but i could definitely smell smoke not acceptable then while i was sleeping a deep throbbing sound began to emanate from the walls it sounded technical mechanical like an air conditiner malfunctioning despite many reassurances from the front desk the throbbing continued on throughout the night i demanded the man at the front desk come up and rectify the situation immediately but from what i could tell he never came,0
"The James Chicago hotel was one of the worst hotels I have ever stayed in. The only good thing about it was that it was located downtown, so I wasn't forced to stay in it any longer than I had to. The receptionist was rude and snobby, my room had dirty towels in it, and i found numerous small insects in my room. Furthermore, the gym and spa were closed while I was there. Nothing was done by management to accommodate me for these inconveniences. Next time I will take my business elsewhere.
",the james chicago hotel was one of the worst hotels i have ever stayed in the only good thing about it was that it was located downtown so i wasnt forced to stay in it any longer than i had to the receptionist was rude and snobby my room had dirty towels in it and i found numerous small insects in my room furthermore the gym and spa were closed while i was there nothing was done by management to accommodate me for these inconveniences next time i will take my business elsewhere,0
"Traveled to this hotel on a family vacation. We chose this hotel because it was pet friendly. Upon arrival we smelled just how pet friendly it was! The dog that greets you attacked my dog. There was constant barking throughout the night and during breakfast, I found hair in my eggs! I would not recommend this hotel!
",traveled to this hotel on a family vacation we chose this hotel because it was pet friendly upon arrival we smelled just how pet friendly it was the dog that greets you attacked my dog there was constant barking throughout the night and during breakfast i found hair in my eggs i would not recommend this hotel,0
"I made my reservation at the Hilton Chicago believing I was going to be staying in a classy hotel with many amenities. Unfortunately, my stay at the Hilton Chicago went downhill from the moment I checked in. There was only one clerk at the front desk, and several guests already waiting ahead of me. Once I finally got checked in and located my room, I discovered that neither of my room keys worked and had to make my way back to the front desk. Finally I made it into my room. It appeared nice enough until I went to use the bathroom and found the toilet clogged. The manager moved me into a new room, so I can't complain too much, but still it was a hassle. Finally settled, I was able to relax for the rest of my evening and was looking forward to sleeping in the next morning. That is -- until the front desk called me at 5 am with a wake up call I had not requested! Needless to say, my overall experience with this hotel left much to be desired and I will choose other accommodations for my next trip to Chicago.
",i made my reservation at the hilton chicago believing i was going to be staying in a classy hotel with many amenities unfortunately my stay at the hilton chicago went downhill from the moment i checked in there was only one clerk at the front desk and several guests already waiting ahead of me once i finally got checked in and located my room i discovered that neither of my room keys worked and had to make my way back to the front desk finally i made it into my room it appeared nice enough until i went to use the bathroom and found the toilet clogged the manager moved me into a new room so i cant complain too much but still it was a hassle finally settled i was able to relax for the rest of my evening and was looking forward to sleeping in the next morning that is  until the front desk called me at  am with a wake up call i had not requested needless to say my overall experience with this hotel left much to be desired and i will choose other accommodations for my next trip to chicago,0
"I found my stay at the Hotel Monaco - Chicago to be less than satisfactory. They lure you in with a fancy website, promising the world and more, but their services and amenities turned out to be a facade. The pictures on the website show a grand five-star lobby and one would assume the rooms match, but when I received my room (which by the way I could barely afford) I found it to be no more luxurious than my local Motel 6. They mention that they are ""pet friendly"". Let me tell you, that is code for ""smelly"". There was a faint urine smell throughout the entire hotel and I was awake all night because of the incessant barking. Would not stay again.
",i found my stay at the hotel monaco  chicago to be less than satisfactory they lure you in with a fancy website promising the world and more but their services and amenities turned out to be a facade the pictures on the website show a grand fivestar lobby and one would assume the rooms match but when i received my room which by the way i could barely afford i found it to be no more luxurious than my local motel  they mention that they are pet friendly let me tell you that is code for smelly there was a faint urine smell throughout the entire hotel and i was awake all night because of the incessant barking would not stay again,0
"My husband and I recently stayed stayed at the Hilton Chicago and it was a horrible experience. When we arrived, the front desk clerk was on the phone on what sounded like a personal call and didn't even acknowledge us for at least five minutes. When we got to our room I went to lay on the bed and noticed a black hair on the pillow. I'm am very paranoid about hotels being dirty, so I pulled back the sheets and moved all the pillows around and noticed several more hairs. I called for some new sheets which they said they would send right up but it actually took nearly 30 minutes. The second night we were there we decided to try the Irish pub in the hotel called Kitty O'Sheas because my husband loves pub food. We had the shepherd's pie which was awful. It was watery and had no flavor and it was not cheap! Our server seemed annoyed when we complained and did not offer it to be taken off the check. While we had a great trip to Chicago, the Hilton was definitely NOT a highlight of our trip. Overall, we had rude service, a dirty room and bad food. Spend your money elsewhere
",my husband and i recently stayed stayed at the hilton chicago and it was a horrible experience when we arrived the front desk clerk was on the phone on what sounded like a personal call and didnt even acknowledge us for at least five minutes when we got to our room i went to lay on the bed and noticed a black hair on the pillow im am very paranoid about hotels being dirty so i pulled back the sheets and moved all the pillows around and noticed several more hairs i called for some new sheets which they said they would send right up but it actually took nearly  minutes the second night we were there we decided to try the irish pub in the hotel called kitty osheas because my husband loves pub food we had the shepherds pie which was awful it was watery and had no flavor and it was not cheap our server seemed annoyed when we complained and did not offer it to be taken off the check while we had a great trip to chicago the hilton was definitely not a highlight of our trip overall we had rude service a dirty room and bad food spend your money elsewhere,0
"Me and my business associate had a job in Chicago and wanted to stay somewhere that had more features. We did some research online and came across the Hotel Moncaco. We decided to stay for 3 nights. When we arrived we noticed that it was in a busy part of the city with bright lights. The staff was upstiff, and didn't not offer much hospitality. Our room did have a view, but of the city lights and kept our room bright, even with the curtains closed. The beds appeared soft, but did not offer much comfort. For what we paid, we expected more.
",me and my business associate had a job in chicago and wanted to stay somewhere that had more features we did some research online and came across the hotel moncaco we decided to stay for  nights when we arrived we noticed that it was in a busy part of the city with bright lights the staff was upstiff and didnt not offer much hospitality our room did have a view but of the city lights and kept our room bright even with the curtains closed the beds appeared soft but did not offer much comfort for what we paid we expected more,0
"After booking a room over two months in advance at the Hotel Sofitel Chicago Watertower and confirming my reservation twice, I arrived to find that the front desk staff had 'no record' of my reservation and that the only rooms available were much more expensive than the room that I had reserved. When I asked to speak to a manager, it took almost half an hour for him to turn up. He did finally give me a room at the rate that I had been promised, but did not offer any compensatory discount or bonuses for my inconvenience. The room itself smelled of dog but was otherwise okay. Not worth the rate though. The website really makes this hotel seem upscale, clean, and well decorated, but the rooms are not in the style that you would expect from the lobby. The staff's response to my request to move to another room because of the obvious dog smell (which could only mean it hadn't been cleaned properly) was met with contempt. They did move me, but I did not get an apology. Will not stay again.
",after booking a room over two months in advance at the hotel sofitel chicago watertower and confirming my reservation twice i arrived to find that the front desk staff had no record of my reservation and that the only rooms available were much more expensive than the room that i had reserved when i asked to speak to a manager it took almost half an hour for him to turn up he did finally give me a room at the rate that i had been promised but did not offer any compensatory discount or bonuses for my inconvenience the room itself smelled of dog but was otherwise okay not worth the rate though the website really makes this hotel seem upscale clean and well decorated but the rooms are not in the style that you would expect from the lobby the staffs response to my request to move to another room because of the obvious dog smell which could only mean it hadnt been cleaned properly was met with contempt they did move me but i did not get an apology will not stay again,0
"My wife and I recently stayed at the Hotel Monaco in Chicago and, after our experience there, we will not be returning. With a hotel that markets itself as ""luxury,"" we were expecting to get a big bang for our buck. We were disappointed, to say the least. First of all, we stayed in the King Deluxe room and it was uncomfortably small. The space was used poorly - my wife and I could not walk around the bed at the same time because there was so little space. The decor seemed rather dated and not of the best quality. Although they said our room woudl be ready at 3, we had to wait almost an hour past that for our room to be ready. Although the staff did offer a complimentary drink as an apology, they didn't seem terribly upset or apologetic about the inconvenience this caused. The noise at night from the city is horrible - even with the radio on in our room we could hear traffic and pedestrians on the street well past midnight. The hotel would not move us to a different room. All in all, I felt that we paid $100.00 for a luxury hotel and got a $40 Motel 6. We will definitely not be back anytime soon.
",my wife and i recently stayed at the hotel monaco in chicago and after our experience there we will not be returning with a hotel that markets itself as luxury we were expecting to get a big bang for our buck we were disappointed to say the least first of all we stayed in the king deluxe room and it was uncomfortably small the space was used poorly  my wife and i could not walk around the bed at the same time because there was so little space the decor seemed rather dated and not of the best quality although they said our room woudl be ready at  we had to wait almost an hour past that for our room to be ready although the staff did offer a complimentary drink as an apology they didnt seem terribly upset or apologetic about the inconvenience this caused the noise at night from the city is horrible  even with the radio on in our room we could hear traffic and pedestrians on the street well past midnight the hotel would not move us to a different room all in all i felt that we paid  for a luxury hotel and got a  motel  we will definitely not be back anytime soon,0
"I was very disappointed with this hotel. The front desk clerk was rude; she was on a personal call and took 10 mins. to get off the phone. When I arrived in the room the bed wasn't made from the last guest and all the towels were dirty. I called down to the front desk and she made me come back down from the twelveth floor for a new room assignment(on the twelveth floor). Once downstairs the clerk treated me as though I had done something wrong. When I arrived in the new room I found the bathroom less than clean... There was hair all over the floor, toilet and shower. The shower curtain was mildewed and dried toothpaste spit on the mirror. My allergies started to bother me, immediately upon entering the room, so I checked the filter in the air conditioner. Which looked like it had never been cleaned.The comforter was stained and the carpet looked like it never saw a vacuum. While waiting on acceptable room I went to dinner. Which proved to be as bad as the rooms. The lettuce in my salad was brown and slimmy. The steak was rare and I asked for medium. Not to mention, it tasted like rotten meat.The veggies looked like they had been cooked a week earlier and the potato was shriveled and dry. To top the whole experience off... When I went to turn on the lamp in my final room it electrocuted and the ambulance had to come get me for a 2 day hospital stay.
",i was very disappointed with this hotel the front desk clerk was rude she was on a personal call and took  mins to get off the phone when i arrived in the room the bed wasnt made from the last guest and all the towels were dirty i called down to the front desk and she made me come back down from the twelveth floor for a new room assignmenton the twelveth floor once downstairs the clerk treated me as though i had done something wrong when i arrived in the new room i found the bathroom less than clean there was hair all over the floor toilet and shower the shower curtain was mildewed and dried toothpaste spit on the mirror my allergies started to bother me immediately upon entering the room so i checked the filter in the air conditioner which looked like it had never been cleanedthe comforter was stained and the carpet looked like it never saw a vacuum while waiting on acceptable room i went to dinner which proved to be as bad as the rooms the lettuce in my salad was brown and slimmy the steak was rare and i asked for medium not to mention it tasted like rotten meatthe veggies looked like they had been cooked a week earlier and the potato was shriveled and dry to top the whole experience off when i went to turn on the lamp in my final room it electrocuted and the ambulance had to come get me for a  day hospital stay,0
"I was consistently disappointed throughout my stay at the James. I had heard from others that it was ""agreeable"" and ""workable"" and ""all right,"" or even ""a nice place."" I figured that there would be no problems and booked a guestroom for a long weekend visit with my long-distance girlfriend. According to the website, I was about to immerse myself and my date in a bath of cutting-edge contemporary furnishings and ""warm tones."" Well, when I arrived, I felt like I was in an Ikea showroom just before closing time on a busy day. Everything in the front was just a bit too askew. The staff were busy, distracted, inattentive, and in every way keen to show me I was a bother to them. I handled my own bags far too much to be convinced of their commitment to my comfort. I also thought my room was quite pathetic for its price. It looked distinctly like someone had rolled around on the beds just before I got there. The bathroom fixtures felt a little bit gross and smelled very strongly, inexplicably, of men's cologne. Nobody cared when I complained of this and suggested that maybe it was just ""stuck in my nose"" and that it would go away. Well, it didn't, and I had a horrible headache by the time my lady arrived. This ruined my entire first evening in Chicago. For my price I could have stayed a week at an economy hotel, gotten my personal items treated for bedbugs, and still saved money. And I would not have been treated like such a pest. Needless to say, I will be looking elsewhere when I go back to Chicago. I may not be a frequent patron of luxury hotels, but I know when I am wasting my money.
",i was consistently disappointed throughout my stay at the james i had heard from others that it was agreeable and workable and all right or even a nice place i figured that there would be no problems and booked a guestroom for a long weekend visit with my longdistance girlfriend according to the website i was about to immerse myself and my date in a bath of cuttingedge contemporary furnishings and warm tones well when i arrived i felt like i was in an ikea showroom just before closing time on a busy day everything in the front was just a bit too askew the staff were busy distracted inattentive and in every way keen to show me i was a bother to them i handled my own bags far too much to be convinced of their commitment to my comfort i also thought my room was quite pathetic for its price it looked distinctly like someone had rolled around on the beds just before i got there the bathroom fixtures felt a little bit gross and smelled very strongly inexplicably of mens cologne nobody cared when i complained of this and suggested that maybe it was just stuck in my nose and that it would go away well it didnt and i had a horrible headache by the time my lady arrived this ruined my entire first evening in chicago for my price i could have stayed a week at an economy hotel gotten my personal items treated for bedbugs and still saved money and i would not have been treated like such a pest needless to say i will be looking elsewhere when i go back to chicago i may not be a frequent patron of luxury hotels but i know when i am wasting my money,0
"When I went to The James hotel in Chicago I truly expected a luxury experience exactly like what they were advertising. Gorgeous chairs, staff at the desk focusing on their job, and a clean, well decorated hotel room. Much to my, and my wallet's dismay I found quite the opposite. I arrived to the hotel late after my flight was delayed, and found the clerk reading a magazine. It must have been a fascinating article, as it took him a full minute to look up and ask if I had a reservation, or would be making one. I said I had one, and gave him the voucher I'd printed out. He checked it, and said that all the single rooms had already been rented out, he went on to say that I would have to pay extra for a two or three person room if I wished to stay the night. I grudgingly accepted the two person option as the jet lag was setting in and I desperately needed to get some sleep. The clerk offered to walk me to my room, saying I looked tired and trying to navigate the hotel would be much easier after I got some sleep. I accepted, and followed him to my new room. He carried the briefcase I had with me, but it was not apparent why at the time as I had both hands free. He ushered me into my room, setting the briefcase down inside, and said if I needed anything that the phone next to the bed would give me a direct line to room service without having to dial anything. I thanked him and closed the door. It was then that I looked around and fully saw where I was staying. What was supposedly a two person suite was two twin beds 6"" apart, covered in ruffled blankets and sheets. The cleaning staff had obviously not been in here recently. A quick look around the other areas and I found the bathroom was out of toilet paper and soap, not even the complementary ones were left behind. I got ready for bed, and looked around for the TV remote, which it turned out, had no batteries in it. Instead, I just turned out the lights and rolled over, sheets and blanket turned inside out to try and find a cleaner option. In the morning I walked down to the lobby and asked to check out. I'd had enough of the hotel after one night. The clerk that morning was a cheerful blond who cheerfully asked me my room number and handed me a bill. $240 for my room, and an extra $80 with a note about a baggage service. I asked her about it, and she said if anyone carried my bags to my room for me it was filed under the baggage service. I asked if it was considered reasonable to charge $80 for carrying a suitcase to a room two floors up, and riding the elevator, and she said it was unusual, but not unheard of. She offered to change it to a ""mere"" $20 and handed me a slip with a phone number, name, and reason for the disagreement, saying that the manager would handle any complaints between the clerk and I after I signed it. I did so, and left, my wallet $260 lighter, and my head throbbing with a headache from lack of sleep.
",when i went to the james hotel in chicago i truly expected a luxury experience exactly like what they were advertising gorgeous chairs staff at the desk focusing on their job and a clean well decorated hotel room much to my and my wallets dismay i found quite the opposite i arrived to the hotel late after my flight was delayed and found the clerk reading a magazine it must have been a fascinating article as it took him a full minute to look up and ask if i had a reservation or would be making one i said i had one and gave him the voucher id printed out he checked it and said that all the single rooms had already been rented out he went on to say that i would have to pay extra for a two or three person room if i wished to stay the night i grudgingly accepted the two person option as the jet lag was setting in and i desperately needed to get some sleep the clerk offered to walk me to my room saying i looked tired and trying to navigate the hotel would be much easier after i got some sleep i accepted and followed him to my new room he carried the briefcase i had with me but it was not apparent why at the time as i had both hands free he ushered me into my room setting the briefcase down inside and said if i needed anything that the phone next to the bed would give me a direct line to room service without having to dial anything i thanked him and closed the door it was then that i looked around and fully saw where i was staying what was supposedly a two person suite was two twin beds  apart covered in ruffled blankets and sheets the cleaning staff had obviously not been in here recently a quick look around the other areas and i found the bathroom was out of toilet paper and soap not even the complementary ones were left behind i got ready for bed and looked around for the tv remote which it turned out had no batteries in it instead i just turned out the lights and rolled over sheets and blanket turned inside out to try and find a cleaner option in the morning i walked down to the lobby and asked to check out id had enough of the hotel after one night the clerk that morning was a cheerful blond who cheerfully asked me my room number and handed me a bill  for my room and an extra  with a note about a baggage service i asked her about it and she said if anyone carried my bags to my room for me it was filed under the baggage service i asked if it was considered reasonable to charge  for carrying a suitcase to a room two floors up and riding the elevator and she said it was unusual but not unheard of she offered to change it to a mere  and handed me a slip with a phone number name and reason for the disagreement saying that the manager would handle any complaints between the clerk and i after i signed it i did so and left my wallet  lighter and my head throbbing with a headache from lack of sleep,0
"My family stayed at this hotel and walking into the Lobby I expected a very good experience. Once I made my way to the counter and was Greeted (Not Really) I knew this may be a bad experience. The Customer Service Person was rude and did not wait on me for a few minutes. Once I got up to the room it looked like someone had just checked out. The High Chair that we requested still had spots of food on it. The Rest Room had water on the counter and very little toilet paper. After we got settled we went down to the dining room for supper and was disappointed in the service and the food quality for the price we paid. Luckily we only had to stay there one day. One day was almost too long.
",my family stayed at this hotel and walking into the lobby i expected a very good experience once i made my way to the counter and was greeted not really i knew this may be a bad experience the customer service person was rude and did not wait on me for a few minutes once i got up to the room it looked like someone had just checked out the high chair that we requested still had spots of food on it the rest room had water on the counter and very little toilet paper after we got settled we went down to the dining room for supper and was disappointed in the service and the food quality for the price we paid luckily we only had to stay there one day one day was almost too long,0
